Goal,X,Y,C,Distance,Angle
1,12,41,9.0,13.891814136389819,0.4744514361613353
0,15,52,2.0,15.803559725580817,0.45382332870968084
0,19,33,17.0,22.805810663074443,0.280596899650947
0,25,30,20.0,29.292703869735206,0.22367950828689226
0,10,39,11.0,12.703247616259395,0.4790511315471671
0,31,36,14.0,33.79811385269894,0.2080044914320849
0,14,58,8.0,15.592626462530292,0.4380367459389602
0,10,32,18.0,15.720687007888682,0.3176837118199129
0,27,36,14.0,29.774695632365415,0.23334456907392245
1,6,54,4.0,6.815423684555495,0.9489061410934956
0,28,40,10.0,30.1099651278443,0.23643033935248386
0,13,48,2.0,13.711765021323842,0.5197369931737656
1,8,50,0.0,8.4,0.8218212603970589
0,29,64,14.0,31.78069382502528,0.22002972434351686
0,25,59,9.0,26.893958429357326,0.2643417647555585
0,23,55,5.0,24.367704036285403,0.29565803943299857
0,9,68,18.0,15.039697470361562,0.3142956852066102
0,28,56,6.0,29.65754541427864,0.24352688777515585
0,13,47,3.0,13.788582233137678,0.5145691046572908
0,14,72,22.0,20.508047201037936,0.25835749013039877
0,34,66,16.0,37.18400193631665,0.1885834694126617
0,8,33,17.0,13.880291783676595,0.33042245113400326
0,27,66,16.0,30.197392271519078,0.22698785233621196
0,32,54,4.0,33.70044510091818,0.21573481688426988
1,6,63,13.0,10.540042694410682,0.44102340262668716
0,10,34,16.0,14.778700890132395,0.35868342997638314
0,27,58,8.0,28.822950924567042,0.2486373002536444
0,11,37,13.0,14.311009747743169,0.415932290325356
0,20,29,21.0,25.046406927940783,0.24534391562807015
0,8,56,6.0,9.26120942425988,0.7042514439477466
0,7,42,8.0,9.003471552684553,0.6717464204924444
0,23,41,9.0,24.848440594934726,0.28470459738532766
0,21,29,21.0,25.933086973979787,0.2401517639532775
0,20,38,12.0,22.401785643113364,0.3049000780893932
0,14,34,16.0,18.006943105369107,0.33324589215754935
0,26,39,11.0,28.220781349920134,0.2498788557129568
0,12,44,6.0,13.189768762188365,0.5213741842885677
0,13,55,5.0,14.031571544199888,0.49864447723339733
0,13,48,2.0,13.711765021323842,0.5197369931737656
0,28,66,16.0,31.185252925060585,0.22072390870195313
0,29,58,8.0,30.89081578722064,0.23261917724626818
0,22,67,17.0,25.60688384009269,0.2574128756042204
1,11,55,5.0,11.998541578041891,0.5746282275003937
0,25,76,26.0,31.219745354502813,0.19729014895433764
1,13,52,2.0,13.711765021323842,0.5197369931737656
0,19,30,20.0,23.811814294589148,0.25791147165338396
1,9,24,26.0,19.3626573589474,0.18905855885445644
0,26,47,3.0,27.36955425285549,0.26522874968664184
0,25,34,16.0,28.235128829173064,0.24040255862222012
0,21,39,11.0,23.180271784429102,0.2988423003378373
0,11,24,26.0,20.469794820661978,0.2054957580229888
0,29,33,17.0,32.39297763404902,0.21193622086056002
0,22,23,27.0,29.0105584227536,0.20139609393755492
0,16,43,7.0,17.4052434628189,0.4016324095496548
0,24,23,27.0,30.70899705298107,0.19587945153355057
0,11,37,13.0,14.311009747743169,0.415932290325356
0,10,51,1.0,10.520099809412457,0.6686847657975241
0,23,49,1.0,24.158745828374453,0.30060676755357607
0,19,55,5.0,20.21299087220889,0.35398215152994544
1,10,42,8.0,11.717081547894082,0.5552607966192705
0,14,55,5.0,15.05498256392215,0.46730053223534024
0,12,43,7.0,13.396361446303246,0.5069724665686698
0,19,59,9.0,20.790021645010377,0.3354910763529341
0,24,30,20.0,28.35559909435877,0.22920831127383148
0,14,35,15.0,17.639515299463305,0.34677853070576053
0,9,67,17.0,14.53977303811858,0.3360930094197185
0,13,30,20.0,18.85,0.28430431212281077
0,18,33,17.0,21.893206708931423,0.28864440517234924
0,32,28,22.0,36.51643465619282,0.18420738998625208
0,4,61,11.0,8.292315719990405,0.5068860882826424
0,3,34,16.0,10.866577197995698,0.2167952219106215
0,16,28,22.0,22.061958208645034,0.2541880812518543
0,9,49,1.0,9.472328119316812,0.7362608907549514
1,15,60,10.0,17.038559211388737,0.39450787483769706
0,14,57,7.0,15.388063555886426,0.4488778813145313
0,17,45,5.0,18.14345612059621,0.39231452383640797
0,24,65,15.0,27.02040895323385,0.25190974809159156
0,17,67,17.0,20.9934513598884,0.2967365571334337
0,21,72,22.0,26.281029279691467,0.23394553924240452
0,17,59,9.0,18.78416886636191,0.3674420847340529
0,17,73,23.0,23.283577903750103,0.2422705047820207
0,12,24,26.0,21.080085388821363,0.21082786407246729
0,14,30,20.0,19.623710148695125,0.2817923532519773
0,11,63,13.0,14.311009747743169,0.415932290325356
0,25,35,15.0,28.002232053891703,0.2443284781658152
0,8,31,19.0,14.935946571945147,0.2852409034330836
0,18,35,15.0,21.266699320769078,0.30537177937400134
0,13,61,11.0,15.409250468468608,0.41949264517163204
0,13,61,11.0,15.409250468468608,0.41949264517163204
0,12,67,17.0,16.758952831248138,0.33206626567067177
0,23,35,15.0,26.043905237118338,0.2598638838801138
0,11,70,20.0,17.38972397710786,0.28459853384550277
0,26,51,1.0,27.307736998880006,0.26639593140038675
0,17,26,24.0,23.706170082913015,0.23382265589882556
0,29,37,13.0,31.6007120172948,0.22249459590177284
0,9,27,23.0,17.68629412850527,0.22705100397193015
0,25,50,0.0,26.25,0.27707090738427936
1,8,37,13.0,11.914801718870523,0.44610227378018025
0,21,31,19.0,25.27300931824305,0.25260026044017875
0,22,70,20.0,26.506791582535975,0.24058818508984728
0,22,67,17.0,25.60688384009269,0.2574128756042204
0,14,52,2.0,14.757371039585607,0.48460536525591696
0,10,33,17.0,15.243113199081087,0.33759032764216496
0,13,66,16.0,17.160492417177313,0.34153966032468785
0,14,67,17.0,18.390010875472587,0.31991607427082147
0,13,33,17.0,17.562032911938186,0.32654703564538545
0,18,52,2.0,18.944656238633623,0.38087120766850147
0,15,29,21.0,20.841904903343167,0.26730128701024414
0,15,27,23.0,21.715547425750056,0.24651390306125692
0,11,33,17.0,15.984523765192382,0.33596709169430355
0,25,43,7.0,26.64141512757909,0.2692316748953821
0,10,67,17.0,15.243113199081087,0.33759032764216496
0,11,30,20.0,17.38972397710786,0.28459853384550277
1,12,42,8.0,13.63084736911099,0.4912343711700846
0,7,32,18.0,13.817108959547216,0.29428099981910055
1,29,38,12.0,31.433143336293938,0.22482580023026133
0,23,63,13.0,25.585640504001457,0.26900391356748554
0,13,33,17.0,17.562032911938186,0.32654703564538545
0,18,51,1.0,18.911173945580426,0.38214120816966374
0,26,46,4.0,27.423530042647684,0.26421562813855315
0,15,33,17.0,19.239672554386157,0.31255764826376803
0,23,26,24.0,28.75034782398293,0.21405861588577846
0,28,53,3.0,29.46459740094882,0.24664752235410065
0,29,47,3.0,30.512374538865373,0.23829209884521543
0,25,51,1.0,26.258046385822386,0.276906479649689
0,6,37,13.0,10.540042694410682,0.44102340262668716
0,11,50,0.0,11.55,0.6137460607827115
0,26,63,13.0,28.577832318074794,0.24382048237694218
1,6,48,2.0,6.432728814430155,1.025372627090774
0,14,34,16.0,18.006943105369107,0.33324589215754935
0,8,36,14.0,12.384264209067894,0.41390377024114655
1,12,47,3.0,12.75,0.5537770359226951
0,25,51,1.0,26.258046385822386,0.276906479649689
0,18,36,14.0,20.976653689280376,0.3135852959459952
0,4,39,11.0,8.292315719990405,0.5068860882826424
0,10,35,15.0,14.3287298809071,0.380925130447818
0,11,58,8.0,12.66658991204815,0.5218037806113346
0,6,43,7.0,7.771261158911081,0.7759378875324093
0,24,31,19.0,28.063543967218397,0.23391253649325264
0,5,45,5.0,6.174544517614234,0.999009718781405
0,11,41,9.0,12.947007376224052,0.5014474542557615
0,7,33,17.0,13.271209439986997,0.3193088176827172
0,20,32,18.0,24.039342753078753,0.26586779578711206
0,22,49,1.0,23.10914321215739,0.31403211774890216
0,14,46,4.0,14.928161306738348,0.47457492357511266
0,14,74,24.0,21.4347848134755,0.23671253284616733
0,22,50,0.0,23.1,0.31427070504979715
0,7,55,5.0,8.036479328661276,0.8102769720462943
0,9,61,11.0,11.850105484762572,0.49865017428260083
0,9,66,16.0,14.052135069091813,0.35947975315199954
0,19,49,1.0,19.960586163737776,0.3625178205706539
0,20,25,25.0,26.553013011709236,0.21869132647796993
